,0,1
20,فردا پنجشنبه ۴ بهمن یا ۲۴ ژانویه روز جهانی آموزشه. به همین مناسبت #ما_رنگین_کمانیها تصمیم گرفتیم که با هشتگهای #تو_هم_بگو و خشونت_تحصیلی در این باره بنویسیم. شما هم با هر #گرایش_جنسی و #هویت_جنسیتی میتونین با ما همراه بشید. #همجنسگرا #دوجنسگرا #ترنس #رنگینکمانی,OTHER
21,لغات و جملات کلیدی برای حفظ آرامش در زندگی: باشه، اینجور خوشم میاد، نه، نه، خوشم نمیاد، هر جور صلاح میدونی، نمیدونم، دوست ندارم جواب بدم، شخصیه، هر جور راحتی، ترجیح میدم که ...,OTHER
22,میگف بعضیا هم هستن ک دروغ نمیگن ولی فقط همون لحظه رو میگن! مثلا میگن دوستت داررررم واین یعنی الان دوستت دارم برای همین ساعت همین لحظه و فردا؟ نه...,SAD
23, غلط کرده!!! چنان سونامی خشم ملت آغاز شود که آغا و بیت و نصراله و اسد در این سونامی تکه تکه بشوند!!! حالا متتطر بمانید ! اندکی صبر سحر نزدیک است!,ANGRY
24,از بیرون چیزی مشخص نبود ولی وقتی بسته رو باز کردم و پایه رو بیرون آوردم دیدم همه جاش رنگ پریدگی داره. الانم نمیدونم قبول می کنن برگشت بدم یا خیر چون بسته بندی باز شده. به نظرم از این تامیین کننده چیزی نخرید,SAD
25,گریه میکنم اما از غم نیست. ترکیبی هست از شرمندگی و ترس و .. و سبک میشم.,SAD
26,دربرابرت هیچ نکردیم رب مهلت دهد اول سلامتی شما دوتا بعدخودم خدمت به شما دعای شما که همیشه میترسم از گمراهی های جامعه دعایم کن,FEAR
27,حامیان نظم موجود:مطمئنی قاتل نبودن؟فتوشاپ نیست؟توباچشم خودت دیدی؟اگر واقعی باشه خوب نیست؟مال دوران خشونت و هرج و مرج سیاسیه!جزو زیاده رویهای خودسرانه بود!برخورددرشرایط جنگی بامتحدین امریکاست!توانقلاب ازاین اتفاقات تلخ میافته!مقصرگروههای مخالفند نه خط امام!لازم باشه بازهم میکنیم.,OTHER
28,یجادیدم نوشته:شعبده بازلبخند،درکلاه درد...عجب جمله ای،بمن که چسبید،دم اونکه اینونوشته،گرم,HAPPY
29,انتصاب رئیس جدید قوه قضائیه در آینده نزدیک قطعی است؛ عاجزانه از رئیس تازه نفس میخواهم تا سر و سامانی به نظام اطلاع رسانی فَشَل قوه بدهد؛ شاید تعطیل کردن برخی رسانههای این قوه، مایه تقویت باشد احیای دیدارهای مردمی رئیس وجلوگیری از اظهارات نسنجیده بعضی مسئولان قضایی هم، ضروری است,OTHER
30,شهریوری به شماره شناسنامه ۷۲۱۷، همینقدر ناشناس برای همه و همینقدر جاودانه برای من تولدت مبارک باشه. البته که همینقدر بی پاسخ میمونم و این تبریک رو نخواهی دید!,SAD
31,حالا همینا که به گوگوش گیر دادن ب مکرون رئیس جمهور فرانسه میگفتن عجب حرکت خفنی زده با یکی ۲۰ سال بزرگتر از خودش ازدواج کرده ، تازه گوگوش خیلی خوشگل تر و جذاب تر از زن مکرونه,SURPRISE
32,بعضیا هم از اونور بوم افتادن و سال نو میلادی رو فقط به دوستان مسیحیشون تبریک گفتن!!! سال نو واسه همه و همه جاست عزیز جان :),OTHER
33,چقدر خوشحال شدم سرگروه این تیمه تو برنامه شب جمعه من و تو اون دختره نیست... رو اعصابم بود,HAPPY
34,اعصابم کیری تر از اون چیزیه که فکرشو بکنی,ANGRY
35,آه، آتش! نکند شعله بگیری زیرا مادرم فاطمه بسیار به در نزدیک است لب نکن باز به نفرین که همه میدانند نالهی سوخته جانان به اثر نزدیک است آخرِ قصهی تلخِ تو ولی شیرین است وعده دادند به ما وقتِ سحر نزدیک است سید علی محمد نقیب #فاطمیه #اللهم_عجل_لولیک_الفرج,SAD
36,این کلیپ محجبه شدن شاخ های اینستاگرام رو می بینم همش اين جمله میاد تو ذهنم که وقتی می خوای یه چیزیو نابود کنی یا هوشمندانه بهش حمله کن یا احمقانه ازش دفاع کن,OTHER
37,کاش یه روز که دارم سیگار میکشم یه پیرمرد بیاد بگه پسرم نکش ضرر داره.منم یه نگاه بهش بکنمو بگم باشه و سیگارو زیر پام له کنم.اونم بگه افرین بیا این یه میلیارد مال تو *_*,OTHER
38,تفریح با خانواده یعنی من گاییده شدن اعصابم را دوست دارم.,ANGRY
39,"شرط می بندم حالا که دیگه در برابر افزایش نرخ ارز و طلا سِر شدیم, مسئولان تو فکرن که چجوری به مردم شوک جدید وارد کنیم تا بیشتر تو احساس بدبختی غرق بشن.",SAD
40,عزیزان آیا مستندی با موضوع جنگ دیدین که به شدت تکونتون داده باشه؟ #ریتوییت هم بکنین که عالی میشه.,OTHER
41,من هنوز یادمه. یکی از دلایلی که مردم قشون قشون به خاتمی رای میدادن، ترس از رییس جهور شدن ناطق نوری بود. آدمها عوض میشن. موضع آدمها و سطح استفاده از منطقشون هم همینطور. حتی اگه به خاطر منافع شخصیشون باشه. عوض میشن …,FEAR
42,لعنت به اون روبالشی که پاکتش روی کار دوخته شده. …,HATE
43,به توییتر حس خیلی خوبی دارم اینجا خودمم خود واقعیم هیچ ترسی از قضاوت شدن ندارم لزومی برا پنهان کاری نیس لازم نیس حرفامو ( هرچقدم گاهی چرت و رو مخ باشن ) قورت بدم برعکس اینستا که حس میکنم هزار نفر چارچشمی زل زدن بهم ! اینستاگرامم به طرز وحشتناکی تهوع آور شده,HATE
44,دوستت دارم ولی این ماهِ دی را صبر کن...! کافه گردی ها بماند بعدِ فصلِ امتحان...! صادق ابراهیم زاده,OTHER
45,چند سال است یک حرکت موذیانهای شروع شده در تطهیر رژیم طاغوت، رژیم پهلوی. هدفش این است که یک جوان امروز بگوید «عجب! اینها آدمهای بدی نبودند، اوضاع بدی نبود؛ پس چرا انقلاب کردید؟». اصلاً همه برمیگردد به مسئله زیر سؤال بردن انقلاب؛ اینها از خارج دارد انجام میگیرد.,OTHER
46,من سعی کردم در انتخاب کلمات دقت کنم و بخاطر همین از کلمهی «انتقاد» استفاده کردم، یعنی اینکه نظری رو دارم تایید (endorse) میکنم که باهاش موافق هستم، و البته مخالف یک سری از نظرهای دیگه است (بخاطر همین انتقاد)؛ ولی قضاوتی در مورد درستی یا نادرستی هیچکدوم انجام نمیدم. …,OTHER
47,یه پروژه ی سخت دیگه هم با موفقیت تموم شد . بریم برای سونا و چکوزی که بشوره و ببره :),HAPPY
48,"""کیفیت صداش فوق العادس، فعالیت ورزشی رو هم با نصب نرم افزارهاش تحت نظر میگیره. تو شگفت انگیز مناسبه""""""",OTHER
49,بعد الان که فکر میکنم میبینم رزومه ندم بهتره اصلا ،چون حتی مصاحبه بدم و ... نمیتونم برم فکر کنم! نمیدونما.حالا روش فکر مینمایم:)),OTHER
50,درود بر شرف شما دکتر سعید سکویی، حرف دل ما را میزنید دوستان اگر تاکنون نمیدانستید از اکنون بدانید چنانچه شما در هر رای گیری و انتخابات رژیم شرکت کنید، فردا این کشورهای گرگ همسایه و یا اروپایی همان انتخابات را دلیل بر مشروعیت نظام میکنند و کار ما برای پس گرفتن حق خود دشوارتر میشود,SAD
51,دلت همیشه شاد بهاری باشه عزیزم❤️❤️❤️❤️,HAPPY
52,چرا یه دختر باید به حدی از تنفر رسیده باشه که بگه از همه پسرها متنفرم کاش با هم در صلح و محبت بودیم این نگاه خیلی ترسناک,HATE
53,بینهایت بد .اصلا یشنهاد نمیکنم.تازه گرفتم و با اونی که تو سایته خیلی فرق داره حداقل از لحاظ ظاهری.میخوام عودت بدم..,SAD
54,حالا اون انتخابهای بین بد و بدتر خیلی از رای دهندگان که داستان جدایی بوده و ارتباط چندانی به این موضوع امیدِ به موفقیت اصلاحاتی پایدار در ساختار حکومتی ایران نداشت.,OTHER
55,میخوام یه فحش رو بذارم کنار امروز فهمیدم فقط تو رانندگی اونم وقتی اعصابم رو خورد میکنن میگم!چیکار کنم؟؟؟ پ ن: فحشش خیلی زشته,ANGRY
56,تو توییتر نسبت به دونفر حس تنفر شدیدی دارم و با افتخار بلاکشون کردم یکیشون خانوم اند و فوق العاده خودخواه و از خود راضی اونیکی هم یه اقای به ظاهر انقلابی بی ادب که تهمت بدی به بنده زدند,HATE
57,معلومه که آقایون باید ناراحت باشن چونکه اصن این حرفها به نفعشون نیست .اما همین آقایون همین حرفهارو واسه دخترای خودشون صادق میدونن,OTHER
58,دلم تنگ شده واسه دوستت دارم گفتن های بی هوات,SAD
59, بعد از اینکه به دستم رسید چون راضی بودم میخواستم یکی دیگه سفارش بدم ولی دیدم قیمتش رفته بالاعجب عکس پرمعنایی مردم، زیر چتر امنیتی که موشکهای بالستیک برای کشور ایجاد کردهاند، در راهپیمایی 22 بهمن حضور یافتهاند عقلانی است که این توان مهم را به چوب حراج مذاکره بگذاریم؟ #۲۲بهمن_تماشایی #22Bahman,SURPRISE
60,گفته بودم من کلا فیلم ترسناک نمیبینم؟,FEAR
61,از تمام کسانی که دوستشان دارم میترسم، میترسم که بمیرند,FEAR
62,تصویر جنجال برانگیز مسئولان خوزستان,OTHER
63,سانحه تلخ و دلخراش سقوط هواپیمای مسافربری تهران-یاسوج که به جان باختن ۶۶ نفر از مسافران و خدمه آن منجر شد، من را نیز بسیار اندوهگین کرد. این غم بزرگ را به همه مردم #ایران و به ویژه خانوادههای قربانیان این سانحه تسلیت میگویم و برای آنها آرامش و شکیبایی آرزو میکنم.,SAD
64,الان خیلی جدی فهمیدم از پیر شدن بیشتر از مرگ میترسم,FEAR
65,شب چهارشنبه آخر سال فرصتی است ویژه که در کنار پاسداشت آیینی ملی و در جمع خانواده، تجربهی ارزشمند شادی جمعی و ایمن را به فرزندانمان بیاموزیم.,HAPPY
66,"""این یک نظریه است که رولف دوبلی در کتاب """"هنر خوب زیستن"""" به آن """"ovarian lottery"""" یا """"لاتاری تخمدانی"""" میگوید طی نظرسنجی مردم به طور میانگین فکر میکنند ۶۰درصد موفقیت کار خودشان بوده و ۴۰درصد کار شانس، در حالیکه به اعتقاد آقای دوبلی نسبت واقعی چیزی نزدیک به ۹۴ به ۶، به نفع شانس است …""",OTHER
67,شعله ور شدن و ترکیدن باتری های غیر استاندارد در فشارجیب یا گرما میتواند به این شکل حادثه آفرین شود. دیجیاتو,OTHER
68,سکه حبابی است که به دور دلار پیچیده شده و این حباب آدامسی است که مسئولان نالایق نشخوار کرده اند. #دلار #سکه #تورم #دولت #مجلس #ژن_خوب,ANGRY
69,سمت مخاطب نامهای که دارم روش کار میکنم این بود: جناب آقای فلانی! مدیر کل محترم توسعهٔ صادرات، امور گمرکی و ارزشافزودهٔ معاونت تولید، صادرات و فناوری دبیرخانهٔ شورای عالی مناطق آزاد تجاری صنعتی و ویژهٔ اقتصادی!,OTHER
70,كاش ديگران از روی خنده های عصبیم بفهمن که حرفای خاله زنکی و چرت که هرکسی میتونه پشت سر اون یکی بگه رو نه باور میکنم نه به جاییم هست نه تغییری تو دیدم به ادمی که دارن پشت سرش زر میزنن داره، حالا راجع به خودشون چرا. پ.ن. فقط یه چارتا خواص و از فیلتر رد شده هستن که حرفشون سنده برام,ANGRY
71,چرا تو بیو هاتون نمیزنید متعهد؟ چرا باعث میشین من سوتی بدم؟ چرا لامصبا چرا؟,ANGRY
72,پیشنهاد میکنم بخرید ت شگفت انگیز که شک نکنید,OTHER
73,عجب برف قشنگی تو . . .,HAPPY
74, اصن بیا اصفهان تا من توریست خشگلا رو نشونت بدم,OTHER
75,من آن تک درخت پیر باغم لبم خشک و تنم خشکیده و سرد نخواهم مشک پرآب تو ای شیخ عجب درد و عجب درد و عجب درد #سعیددامغانیان,SAD
76,تمرین نظامی ارتش اسرائیل برای مقابله با نیروهای مقاومت درهتل⁦⁩ خودشونم باور کردن از رگ کردن بهشون نزدیکتریم جایی توی #زندگی_سگی_اسرائیلیها نیست که ترس توش سایه نیفکنده باشه ⁦⁩,FEAR
77, قیمتش به نسبت خیلی از ماسکها موها باتوجه به کاراییش مناسبه و تو پیشنهاد شگفت انگیز عالیهاستاد عزیزی که فکر میکردم امتحانتو بد دادم و صد در صد میوفتم ولی بهم ارفاق کردی و قبولم کردی #صبح_شما_هم_بخیر اصلا نمرمو دیدم اشک تو چشمام حلقه زد خیلی دلشاد شدم خدا دلتو شاد کنه استاد,HAPPY
78,امروز طبقه دوم استادیوم، آخر بازی همه داشتن فحش میدادن. یه درجه دار نیروی انتظامی هم جوگیر شد و خطاب به بازیکنا داد زد: «پفیوزا». همه خندیدن و من بهت زده باهاش چشم تو چشم شدم. خیلی معصومانه گفت: «والّا...»,SURPRISE
79,چقد ناراحت کننده ،تازه احساس میکنم روز خوشمونه,SAD
80,۱۲ آذر سالروز درگذشت #محمدمختاری از جمله قربانیان قتلهای زنجیرهای... روحش شاد یادش گرامی …,SAD
81,ای کاش این ترس جدایی با ما نبود...,FEAR
82,بابا اینجا ایرانه! چند ساعت برنامه اونم برنامه زنده جا به جا شدن مگه چقدر عجیبه که انقدر شاکی شدین؟! کلا اموال آینده رو میشناسین؟ ایران مال و ... مگه این بانک ورشکست میشه که با یه شایعه شما به هم ریختین؟! بچه شدین عایا؟?,SURPRISE
83,دانشجوی واقعی فرق بین غائله و جنبش دانشجویی رو میدونه و امروز دانشجویان امیرکبیر باید ثابت کنند که یه دانشجوی واقعی هستند و از روشن شدن حقیقت با اکران #هاشمی_زنده_است فرار نمی کنند.,OTHER
84,این ست ست خوبیه  اما یه مشکل بزرگ داره . اونم اینه که با این قیمت حتی بعد از شگفت انگیز اصلا توجیح اقتصادی نداره . شما صد تومن دیگه بذاری روش میتونی یه ست فرز مینیاتوری با دویست تا لوازم بخری . به نظرم باید قیمت کمتر بشه,OTHER
85, احمق تویی ترسو,ANGRY
86,تنها چیزی که از چهرهی دیگران زیاد تو ذهن آدم باقی میمونه مدلِ خندیدنشونه... روز بخیر لبت خندون رفیق,HAPPY
87,"""عكس پرى درياييه!! مشترى خواسته بود واسه روى كيكش! اين ريپلاى مديريت هست بعد از ديدن عكس كيك. لطفا ديگه سفارشات غيرانسانىِ """"متأثر كننده"""" نديد . ما جريمه ميشيم!! #شيرينى_الف""",OTHER
88,از اینکه اینجا توییتر Vpn نمیخواد لذت میبرم و از این لذت حقیرانه شرمسارم,HAPPY
89,شودم سرگردان حیران دربدر خدایا,SAD
90,روز سالمندو به تمام جوونای ایران تبریک میگم. #ایران_را_پس_میگیریم,SAD
91,بوسکتس رو نزن وحشی,ANGRY
92,مرحوم دانائى فرد رو يكبار از نزديك ملاقات كردم. انسانى متين،آرام و باشخصيت روحش شاد,SAD
93,""" """"با سلامبامیلو لطفا بذارش داخل پیشنهاد های شگفت انگیز...""",OTHER
94,هنوز با این همه وقتی که از فینال آسیا میگذره قبل هر مسابقه تبریک میگن بابات فینالیست شدن پرسپوليس. در میزان توجه به پرسپوليس فقط جمال خاشقچی میتونست رقابت کنه توی خبرهای ماه پیش بعد امروز پرسپوليس به صداوسیما نامه نوشته که عدالت رو رعایت کن لطفا,OTHER
95,این ویدیوی برف زدن و حمله به دخترا وحشتناکترین چیزی هست که تو عمرم دیدم. فروپاشی اخلاق به واضحترین و شدیدترین شکل خودش تو یک جامعه. مسئولینی که با دیدن این ویدیو از شرم سکته نکنند واقعا بویی از شرف نبردن,FEAR
96,در ۱۴مرداد ۱۳۸۴ کشورهای اروپایی پس از ۲ سال #تعلیق_داوطلبانه فعالیت های هسته ای ایران، در طرحی به صراحت خواستار تعطیلی کامل هسته ای شدند! ۶روز بعد #هفتمین قطعنامه علیه ایران در شورای حکام تصویب شد. ۴روز بعد ماموریت آقای روحانی در شورای عالی امنیت ملی با ۷ قطعنامه به پایان رسید,OTHER
97, من ادعا مردم ظریف به عنوان وزیر خارجه با توجه به شرایط بین المللی خوب و موفق عمل کرده من روی گوشی سامسونگ j7  pro استفاده میکنم کلید های کم و زیاد صداش هم کار میکنهزود در مورد مسایل منطقه و بحران های جاری نظر بدم نگن طرف فلانه #ایرانی,OTHER
98,خانوم مهستی داره میخونه و باید پاشم قر بدم بجا کد زدن,HAPPY
99,گزارش اختصاصی #مشرق از رابطه «پریوش سطوتی» با مسئولان ساواک/ دولت احمدینژاد از روابط پریوش با ساواک مطلع نبود؟+ اسناد #مشایی,OTHER
100,اینجوری که این داره برامون وقت میذاره اگه چهار روز دیکه زنگ بزنه تولدم رو تبریک بگه تعجب نمیکنم. …,SURPRISE
101,ما مثلن حرفهای خوب میزنیم. مثلن با هم مهربون هستیم. مثلن از کنار هم بودن شادیم. ولی خب. واقعیت که این نیست. تو داری به فرار کردن فکر میکنی و من به ساختن قصر!,SAD
102,اخبار #ایذه نگران کننده است تو رو خدا همه رو دعوت کنید به آرامش نه خشونت..واقعا شوخی نیست ریختن خون هر کدوم از طرفین. #نه_به_خشونت,SAD
103,من اخبارو دنبال نمیکنم و کلا هم بیحس هستم نسبت بهشون. ولی این روزا #نماينده_سراوان و #آتش_سوزی_مدرسه_زاهدان خیلی روی اعصابم رفته. در کنار فحش دادن و حرص خوردن سعی میکنم شبیه کسایی که دارم بهشون فحش میدم نباشم. بیمسئولیت و احمق و خودخواه و بیسواد و سهلانگار و مفتخور نباشم.,ANGRY
104, رنگ سفیدش خیلی جذابه کاملا انعطاف پذیر و حتی درایور هاش هم تنظیم میشن و کاملا روی سر ثابت هست.بيهوده بر قفل ها خشم مى ورزى درهاى همه زندان هاى جهان از درون باز مى شود. #رافائل_آلبرتى,OTHER
105, زشت تویی..زر نزن..دهنتم ببند..دوس دارم نظر بدم فضولی مگه,ANGRY
106,"""من تو شگفت انگیز خریدم""""""",HAPPY
107,عجب چیزی بودا,SURPRISE
108,من پول ندارم برا ریت بدم هر کی زده پس بگیره,OTHER
109,لعنت بر کسانی که اول بار حجاب از سر اهل بیت پیامبر برداشتند و لعنت به بازماندگان اونها .... #FreeMarziehHashemi …,HATE
110,""" """"باسلامیهو یاد بحثی پیرامون قافیهٔ یه بیت شعر افتادم که تو دبستان یا راهنمایی با یکی از دوستام داشتم و یه لحظه واقعاً اعصابم خورد شد!! پر واضح بود که حق با منه، ولی اون کژطبع جانور نمیفهمید. کلاً یعنی میخوام بگم شبا زود بخوابید وگرنه کسخل میشید.""",ANGRY
111,پاره شدم ا خنده,HAPPY
112,ای لعنت بر این ویندوز ایکس پی سرویس پک 3!! پیر ما رو درآورد,ANGRY
113,تبریک برای آزادی #ضیا_نبوی و آرزوی سلامتی برای او. اما کاش کسانیکه از آزادی ضیای عزیز نوشتند و خبرش را منعکس کردند، از بازداشت و ضربوشتم مادر و خواهر #آتنا_دائمی هم مینوشتند... این تفکیک زندانیان سیاسی به خودی و غیرخودی والا ظلمه، جفاست....,SAD
114,کانال مستقل کارگران هفتتپه، خبر لز وخامت حال اسماعیل بخشی، کارگر زندانی و امتناع مسئولان از آزادی او با وجود صدور قرار کفالت داد. #اسماعیل_بخشی کارگر مجتمع نیشکر هفتتپه، پس از اعتراضات کارگران این مجتمع جهت احقاق حقوق خود بازداشت و تحت شکنجه مجبور به اعتراف علیه خود شد.,SAD
115,از همه تخمه ژاپنی ها بدم میاد. نه واسه ایران که از ژاپن باخت. چون بد شکسته میشه دندونام اذیت میشن.,HATE
116,۶ و آخری. افکارتون رو کنترل کنید. منفیها رو دور کنید و فقط روی مثبتترین هدفتون تمرکز کنید. و برای حسن ختام، ممنون میشم #ریتوییت کنید که بقیه هم استفاده کنن و چقدرررر لطف میکنید اگه تجربهٔ مشابه از IBS داشتید رو اینجا منشن کنید که بقیه هم استفاده کنن. شاد باشید,HAPPY
117,""" """"در بسته بندی خوبی تحویل گرفتم رنگ مشکی رو در پیشنهاد شگفت انگیز خریداری کردم به نسبت قیمتی که گرفتم خوب است ،دیجیکالا لطفا   تو پیش نهاد شگفت انگیز بزارش لطفا بزار با قیمت   مطلوب""",OTHER
118,""" """"اینقدر ماندگاری نداشتن توی عطر عجیبه. کلیپی دردناک از دانشجویان فوت شده ی دانشگاه #علوم_تحقیقات متاسفانه بی کفایتی مسئولان بیداد میکنه... ده دانشجوی جوان را بی خود و بی جهت از دست دادیم! و حال چندتای دیگه هم…  …""",SAD
119,گاهی یه فکرایی خیلی یهویی به ذهنم میرسه بعد نمیدونم اینا از ترس ناشی میشن یا حس ششم ! ذهن عزیزم خواهش میکنم تموم کن این بازی کثیفو,FEAR
120,همکار عزیزمون از صندوق کارافرینی و امید هم مسافر هواپیما بودن. روحشون شاد,SAD
121,چرا از این شهر خنده دوره چرا؟ #مشهد,SAD
122,زندانیان زندان زنان قرچک؛ « از روز اعتراض به ما غذا نداده اند و زندانیان هر چه غذا نزد خود داشته اند جمع کرده و برای بند مادران که با کودکانشان زندگی می کنند فرستاده اند. گرسنه ایم و به دادمان برسید » #زندان_قرچک,SAD
123,یه برنامه تلوزیون نشون میداد که در ماه چقدر پول سیگار میشه و باهاش چه کارهایی که نمیشه توی یکسال کرد انقدر اعصابم خورد شد که دوتا سیگار پشت هم کشیدم,ANGRY
124,برخی کالاها در شگفت انگیز رضایت مشتریان را جلب می کنند لطفاً دیجی کالا کالاهای با قیمت رقابتی را بیشتر کند,OTHER
125,اعتراف به شکست،، عدم حضور مردم در خیابانها #صداوسیما را مجبور به پخش تصاویر آرشیوی کرد، در چهل سالگی عنقلاب خشم و نفرت مردم از رژیم به اوج خود رسیده است #سیرک۲۲بهمن,HATE
126,ی جوری میگن بهت نمیاد تک فرزند باشی انگار تک فرزندا شاخ و دم دارن!!,SURPRISE
127,همسایه هندیم اومده میگه چیزی شده دود میاد از خونتون بیرون گفتم -نه من پنکیک درست کردم واسه اونه یه چند ثانیه ساکت شد گفت دود سوختگیه ها گفتم اهان یکی از پنکیکام سوخت ول کن نبود که اخرش مجبور شدم یه بشقاب پنکیک بش بدم تا بره الان برگشته میگه میشه دستور پختشم بم بدی,OTHER
128,الان از هر ۵ بچه ای که میاد درمانگاه یکیش اسمش مهرسانا عه ، میتونم این نوید رو بدم که ۲۰ سال دیگه تو دانشگاه صدا بزنی مهرسانا ، همه برمیگردن :)),OTHER
129,سالها پیش؛ مسابقه بوکس محمدعلیکلی را از تلویزیون نگاه میکردیم ! گزارشگر گفت: برنده یک میلیون و بازنده ۵۰۰هزار دلار میگیره ! یکی از بچهها گفت من برم با کلی مسابقه بدم یه مشت زد تا صد بشمارن بلند نمیشم عوضش نیممیلیون گیرم میاد! مثل #علیز که میخواد با #تاجزاده مناظره کنه !,OTHER
130,آیتالله امامیکاشانی:مسئولان تسلیم خواستههای دشمن نشوند/ دولتمردان برای حل مشکلات اقتصادی مردم همت کنند,OTHER
131,دقیقا میدونستم بیشعوری اون صاحب سگ تو لواسون دردسرش واسه ما میشه! ماشالله اینا هم دنبال بهونه!! یعنی به پرونده تجاوز و قتل اینقدر سریع رسیدگی نمیکردن و رای نمیدادنا! خدا لعنتتون کنه! الان همه مشکلات مردم حل شد؟! …,ANGRY
132,واسه همه باید توضیح بدم... چراویزام نیومده؟! حالا چی میشه؟! نکنه دلیلش فلانه؟! نکنه بهمانه!؟ آقا جان بکش بیرون، به تو چه؟ زندگیه خودمه میخوام بشاااشم توش!,ANGRY
133,دوست واقعی اونیه که در شادی ها و غم ها کنارت باشه. و از نبودنش دلت بگیره....,OTHER
134,من مرگ را به ترس ترس را به خشم خشم را به عشق سپردم #FreeAzimzadeh,FEAR
135,به فرار مذبوحانه از تعطیلی میان هفته و غروب جانکاهش #نگاه_کن,OTHER
136,سلام صبح عالی متعالی برخیزید و سهم امروزتون از زندگی و شادی رو از دنیا بگیرید. فراموش نکنید که شادی حق مسلم ماست.,HAPPY
137,چقدر دلم واسه چرت و پرت گفتن و خندیدن تنگ شده. الان فک میکردم دلم واسه فحش هم تنگ شده. خیلییییی وقته فحش نشنیدم :دی,SAD
